d	lambda	params	MSE	R2
9	1e+10	[1.60951e-13, -1.78535e-11, -5.12137e-13, -1.26904e-11, -1.06612e-12, -9.65193e-12, -1.30953e-12, -7.81142e-12, -1.33665e-12]	0.181388	-0.027038
10	0.1	[-0.0373249, -0.249463, 0.0333663, -0.00805221, 0.0186981, 0.0501159, -0.00337775, 0.0477174, -0.0196976, 0.0253006]	0.0711174	0.597326
10	1.6681	[0.000477629, -0.0552357, 0.00176436, -0.0247164, -3.97491e-05, -0.00939664, -0.00138004, -0.00148781, -0.00188988, 0.00259332]	0.131647	0.254602
10	27.8256	[9.00838e-05, -0.00586126, -9.4699e-05, -0.00397571, -0.000279283, -0.00289234, -0.000367019, -0.00225073, -0.000381309, -0.00186151]	0.171999	0.0261227
10	464.159	[3.63068e-06, -0.000382349, -1.06325e-05, -0.000270977, -2.25084e-05, -0.000205543, -2.77546e-05, -0.000165968, -2.83588e-05, -0.000141431]	0.180715	-0.0232273
10	7742.64	[2.08475e-07, -2.30504e-05, -6.59987e-07, -1.63815e-05, -1.37527e-06, -1.24572e-05, -1.68965e-06, -1.00804e-05, -1.72476e-06, -8.60457e-06]	0.181347	-0.0268068
10	129155	[1.2464e-08, -1.3823e-06, -3.96476e-08, -9.82539e-07, -8.254e-08, -7.47283e-07, -1.01386e-07, -6.04779e-07, -1.03486e-07, -5.16288e-07]	0.181385	-0.0270241
10	2.15443e+06	[7.47076e-10, -8.28686e-08, -2.37711e-09, -5.89035e-08, -4.94848e-09, -4.48002e-08, -6.07827e-09, -3.62573e-08, -6.20417e-09, -3.09523e-08]	0.181388	-0.0270372
10	3.59381e+07	[4.47856e-11, -4.96785e-09, -1.42505e-10, -3.53118e-09, -2.96655e-10, -2.68571e-09, -3.64384e-10, -2.17357e-09, -3.71932e-10, -1.85555e-09]	0.181388	-0.027038
10	5.99484e+08	[2.68483e-12, -2.97815e-10, -8.54296e-12, -2.11689e-10, -1.7784e-11, -1.61004e-10, -2.18443e-11, -1.30302e-10, -2.22967e-11, -1.11237e-10]	0.181388	-0.027038
10	1e+10	[1.60951e-13, -1.78535e-11, -5.12137e-13, -1.26904e-11, -1.06612e-12, -9.65193e-12, -1.30953e-12, -7.81142e-12, -1.33665e-12, -6.6685e-12]	0.181388	-0.027038
11	0.1	[-0.0392676, -0.249604, 0.0327426, -0.00866675, 0.0215795, 0.0497621, 0.00308364, 0.0479026, -0.0102728, 0.0260843, -0.0178338]	0.0709635	0.598197
11	1.6681	[0.000527738, -0.0552309, 0.0019119, -0.024713, 0.000184366, -0.00939203, -0.00110353, -0.00147963, -0.00157982, 0.00260635, -0.00148165]	0.131714	0.254218
